 Imunizações - Doses Aplicadas - Brasil
Doses aplicadas por Imunobiológicos e Ano/mês
Período:1994-2018
"Imunobiológicos";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"Total"
"Dupla Adulto (dT)";-;14;1102;63952;100719;245166;301619;365669;305458;310693;1112830;1126577;1156244;2035088;1622985;1552775;1338506;1371022;1188503;1034068;1172651;1094290;1091432;1056138;1246570;1600627;2183602;1628382;1386194;1693733;1394699;1278871;1270956;1137348;1255379;1131313;1189489;1378300;1834288;1302762;1291799;1303304;1222688;1225606;1242512;1137702;1254912;1244450;1270535;1570803;1892071;1448364;1363623;1401585;1330334;9700178;1239362;1055279;2034656;1506749;1362905;1619860;1576099;1280210;1213829;1810720;1545768;1093781;1069785;923651;1044189;1032974;1141572;1394462;1618296;1222170;1193496;1151570;1176438;1081869;1084903;930298;1048107;1017195;1311910;1835485;1855691;1338704;1186187;1192923;1062352;988245;1026748;915941;1081213;1098648;1064111;1324318;1898855;1228264;1234212;1300355;1192054;1124198;1106696;964227;1137098;1080653;1198486;1187863;1897674;1335335;1257022;1348003;1054907;1087466;994961;823353;1160602;1210110;1209318;1969160;1610218;1401956;1710750;1874985;1728118;1484946;1341226;1152846;1490586;1499660;1486611;1679303;1500069;1147612;1352028;1458535;1561840;1451345;1317443;1000976;1207470;1123344;1306097;1156342;1638224;1272148;1219952;1177131;1086753;988553;916042;701362;524790;433204;541877;637493;718572;604608;598227;629921;799354;602673;552084;471959;988773;917902;1012211;873016;1028648;811595;720296;771195;893560;646021;586295;463321;925550;655725;682506;716967;760884;516661;338528;219682908
"Dupla Infantil (DT)";-;-;1;15;11;14;357;11;1;5;72;35;60;75;251;89;99;48;21;31;28;100;28;36;12;21;35;38;9;38;80;27;15;37;26;39;30;79;16;18;18;21;27;23;34;8;19;8;146;10;24;4;43;38;30;99;13;19;52;95;58;38;23;13;60;32;30;30;106;166;51;63;43;65;147;15;108;48;10;127;78;144;45;41;22;47;544;101;58;59;104;33;30;51;60;84;30;72;58;63;226;7;68;60;113;176;97;67;53;16;37;30;27;57;98;159;139;218;129;519;235;225;292;49;365;286;407;174;220;307;258;144;187;244;286;104;185;178;156;220;337;698;183;319;73;199;138;128;162;179;151;54;107;175;51;43;104;63;139;80;61;97;153;51;19;19;9;36;171;57;77;64;24;30;58;120;34;18;225;126;18;28;22;13;2;17329
"Dupla Viral (rotina) (SR)";-;-;-;-;-;-;8078;34006;19611;2923;39596;45441;99689;274379;164480;39856;9033;14868;7423;5569;8704;4981;608;1005;630;935;538;996;745;922;1752;912;901;745;799;656;153;1879;1464;574;495;687;559;475;801;726;21548;67678;42893;66228;538445;164013;40618;141476;79889;80237;86934;59082;36833;17833;10383;7321;4355;3985;3380;37617;28569;8599;3892;4534;3740;2444;2541;3208;4138;3336;3146;2715;5659;3057;2760;3024;1807;2246;2710;1827;1186;626;717;535;694;732;986;640;1058;296;271;543;410;534;543;997;821;358;240;277;-;-;-;-;-;-;-;-;-;-;-;-;65;65;74;49;40;28;1;-;-;-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;18;20;396374;820948;225082;116611;69245;18353;5115;4137;1899;1383;4446;11074;9276;228;88;153;43;46;122;47;84;78;22;51;202;75;62;-;11;7;32;9;48;-;9;26;-;9;7;4;2;4101543
"Dupla Viral (mulheres idade fértil) (SR)";-;-;-;-;-;-;941;24911;15799;11705;46232;55138;68646;121924;60694;22303;10443;12145;9646;8587;11080;6177;978;569;698;484;866;655;606;1680;1381;1437;887;924;433;481;176;151;192;508;559;429;433;425;424;1027;10074;47840;33864;81641;613696;169844;43343;182655;105241;92569;105787;72655;58626;33928;27471;30665;21710;26863;41131;320506;276410;54580;45979;54300;54722;50893;66656;62221;47968;41182;33464;33612;80240;42370;48876;22234;19142;23135;22766;19808;4274;1648;919;803;882;658;831;623;1200;604;407;255;370;441;364;128;191;251;157;626;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3739073
"Dupla Viral (mulheres idade fértil campanha) (SR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7939;23398;39533;24933902;3184063;512158;264514;1801323;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30766830
"Dupla Viral (homens) (SR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;6;-;-;-;407;18081;13111;12983;17031;10126;14923;20227;241072;240930;51368;28964;33389;22572;19018;27552;25069;24103;20887;16910;18530;43345;25992;36725;13855;10046;13917;13065;12015;1884;429;315;813;397;177;263;86;71;101;76;178;92;44;27;23;127;103;78;58;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1051564
"Dupla Viral (homens campanha) (SR)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8163;22162;35125;22864118;3099192;539759;269954;1711804;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28550277
"Hexavalente (HX)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;19;93;42;172;153;158;90;70;119;123;367;513;480;363;369;256;250;300;253;223;145;346;532;414;489;455;461;427;503;613;776;710;610;636;748;1120;1075;915;1061;675;789;1030;808;1363;758;1182;1108;688;860;1482;955;1234;496;974;1074;888;963;1078;879;1175;941;764;947;785;934;930;889;823;797;1100;798;1162;890;1014;984;1027;1007;1364;1342;1337;1542;1677;1753;2242;2316;2643;2953;2538;2479;4852;5234;5322;5851;6862;6697;7586;7858;8699;7677;4673;6738;8402;7686;7333;7747;7662;7425;8742;7807;8986;8970;8643;8283;10765;7503;6131;7377;3611;2044;1447;3788;7560;3045;1502;7883;11317;7285;4270;13796;8972;5506;2894;7201;10201;3359;6722;6068;6909;2312;1609;10057;7741;6276;6125;5644;6027;5311;4670;3927;1608;471216
"Poliomielite inativada (VIP)";-;-;-;-;-;-;1;-;6;107;5000;4975;4847;4664;5561;5079;4563;5713;4682;4530;4822;4701;5967;5306;5515;5127;5422;12377;6839;6800;5052;5537;5626;8977;6003;5826;5698;4854;5496;6758;5446;11484;5573;6483;5266;6055;5675;5981;6072;5956;6072;6301;5719;7712;6116;5477;6469;7079;7437;7473;6927;7826;6752;8082;7062;7522;6769;6744;7247;7132;8335;7762;8118;7788;7847;8833;8802;8773;8324;7742;10526;8609;7757;15881;10502;9479;9529;8594;8333;9065;7978;7878;6405;7731;8866;8525;8501;8819;8460;8375;9073;10452;8832;8724;9367;9931;11090;9685;10394;9458;10186;10504;11809;18212;20971;23614;23626;23087;27425;26683;23302;21495;21463;22831;18415;15489;13615;12328;10777;9554;55471;47596;57841;62420;62027;64747;78625;81352;91259;90581;92623;79833;145038;117091;149991;135874;143488;157948;178268;490137;174150;182351;188594;158430;538515;523014;589616;554011;572027;563234;584502;674882;1017116;553060;595235;479736;639416;473174;639275;519228;623120;588025;625272;681117;942074;648975;609226;497962;643983;464671;521099;490834;488103;438054;239163;22202323
"Meningocócica Conjugada - C (MncC)";-;-;-;-;-;-;-;-;1;68;4065;3990;5256;3912;4663;4437;5356;6586;5846;8840;7547;7936;7495;6174;7231;8375;9071;8627;9427;10599;13261;10809;10281;9682;9631;8396;9070;7929;9174;19012;10187;14433;15074;17798;13037;15124;14093;14353;16005;19153;18090;17507;17469;16140;15734;16786;17160;15873;29013;21507;16255;17911;24492;16221;25335;46169;30562;24012;20306;26014;21436;19171;21652;22344;26917;25265;24529;21600;21571;24057;412702;97939;97307;248960;182804;298363;284518;244935;198127;243238;383755;428716;761830;743332;861493;892103;799732;782526;757198;747159;719806;773412;701997;728792;708494;653055;731345;670108;706993;667477;710635;727521;705746;835054;651757;662146;644106;567628;709191;694148;662090;717239;650884;732643;707266;790081;907980;920647;667829;587158;762101;694573;674012;689762;672281;631784;760662;832867;870051;699858;744192;576768;729739;651101;721518;668329;698823;663262;745102;1130447;657834;641707;648801;559667;802931;739152;751127;679098;653483;631623;676166;708939;1144001;561619;614897;522717;869603;703862;941760;724546;808060;752362;778350;860203;1802480;744313;657254;523708;745903;581079;723697;728912;660862;523470;300831;71875316
"Oral Poliomielite (VOP)";169485;202915;224726;274999;245912;227910;222671;244747;234321;236089;1079290;1004055;1106562;1112333;1146934;2171737;1088058;1939453;1607117;1028234;1094488;993390;1135302;1052129;1129231;1117562;1089273;2215200;1133535;2006225;1270478;1083643;1114516;1055968;1156200;1016246;1172135;1013525;1081935;1721433;1108332;1536765;1242254;1072135;1073898;989010;1162104;997592;1123283;1069182;1069913;1624017;1091044;1500286;1145449;1057157;1027045;905320;1132848;996591;984107;1018482;982030;1568612;1095688;1397231;1019253;1018429;1011419;914045;1074044;973605;1114868;1013412;1047538;1423198;1100809;1103949;1347642;994217;1025079;892012;1047952;930873;1125981;960847;976076;1229348;1006846;1311984;968448;966438;995817;893689;1023320;966961;978803;993358;1048584;1370107;1101832;1402066;1006331;1003010;981321;910208;1048259;945729;1019242;958666;1050788;1288786;1038819;1189386;650907;586155;448032;325472;323652;282026;245907;271718;221454;437563;171163;187257;127102;88036;67882;56264;114978;103972;111041;128903;137552;99722;124073;121212;134279;130478;289372;110579;166525;139414;180838;161983;225816;183471;218490;1242341;196500;200236;216497;174722;394663;264654;187115;45384;31490;26870;24942;27969;2629299;400575;307710;259474;367091;282155;355452;301039;399112;286239;295334;317926;873674;303090;278891;214830;333716;222137;253342;277589;278126;228417;161462;141037082
"Oral Poliomielite 1ª etapa campanha  (VOP)";-;-;176793;219070;214149;234100;236912;244883;251380;256219;-;-;-;-;-;17431360;-;-;-;-;-;-;-;-;-;-;-;17055156;-;-;-;-;-;-;-;-;-;-;-;16520913;-;1752;-;-;-;-;-;-;-;-;-;16520419;-;-;-;-;-;-;-;-;-;559;-;15959857;-;425;-;-;-;-;-;-;-;-;-;15397979;-;-;-;-;-;-;-;-;-;-;-;14475689;-;1076;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3500767;8846014;77828;-;-;-;53363;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;127676663
"Oral Poliomielite 2ª etapa campanha  (VOP)";-;-;178343;403162;227523;241877;246884;239842;252930;252462;-;-;-;-;-;-;-;16942589;-;-;-;-;-;-;-;-;-;-;-;17046959;-;-;-;-;-;-;-;-;-;-;-;16671229;-;-;-;-;-;-;-;-;-;-;-;16295078;-;-;-;-;-;-;-;-;-;8888;-;15207512;-;-;-;-;-;-;-;-;-;-;-;-;15354747;-;-;-;-;-;-;-;-;3809;-;14906814;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;114480648
"Oral de Rotavírus Humano (VORH)";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;564;2007;225833;232351;349039;379928;367714;433001;366792;403854;390607;361200;428745;368274;422405;397055;418091;436718;428572;485740;400391;443467;421382;372591;444696;396039;407652;420746;411923;446300;450123;458645;434375;443142;436121;396010;470074;395898;469157;426193;443855;469907;443724;463384;455083;418050;449790;398167;456097;398522;463995;404019;412456;442585;431013;482208;419062;400026;432165;390140;445438;417205;438776;433729;441969;468567;448076;506199;454662;458816;453204;412269;460022;414919;451314;431080;467475;462980;454604;507704;411193;453079;435476;386805;482836;449881;440646;474891;429604;477433;476003;517894;548991;472680;445806;394464;516306;443866;457782;473016;450528;462423;511941;490983;494511;479198;468329;395619;512085;431941;501492;460512;470360;481820;497506;641269;440041;441575;437605;373645;498393;423996;455768;414883;429531;425831;434683;483280;637116;383245;410913;334152;406971;299691;396211;334800;400062;384802;398355;372925;588498;392851;389637;323368;413592;300065;341364;328102;331449;291519;158576;63963335
"Pentavalente (DTP+HB+Hib) (PENTA)";-;-;-;-;-;-;-;-;-;-;725;788;1481;671;466;682;575;475;452;557;570;860;668;849;818;744;1282;1407;1150;1427;2178;2099;1992;4604;2180;685;641;511;994;1027;871;1054;1050;880;992;1258;1159;810;1404;1144;1313;945;1019;1196;978;997;1069;1048;1110;1225;1487;2344;1422;1608;1741;2104;2136;2798;2500;3635;3151;1196;1253;1123;953;1288;1040;1135;1515;1761;1298;1584;2560;1761;2786;2130;2806;2449;2489;2405;2413;2178;2012;2492;2955;2893;2327;2374;3257;2859;3153;4013;3896;2651;24752;2177;3003;2728;2308;2367;2995;4973;31556;308701;434839;580675;609639;552247;724883;681631;669549;723247;640023;728583;694679;779678;842499;733824;725799;628897;808745;689956;699376;700784;670089;674193;755013;730419;740256;721673;743015;597959;779211;659755;757880;684134;705455;702684;744169;1048946;666425;683552;698765;614855;847299;732844;760227;677864;673129;669467;683214;808013;1626893;700164;702235;568528;707821;519883;689656;556754;645619;527303;574101;715082;1039810;691441;646057;530130;670224;412460;424375;521969;512562;473741;255403;49130840
"Pneumocócica 10valente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;58;40;933;1540;488426;619270;513590;705529;618457;769382;607161;790122;833642;807240;868542;870192;851112;874336;877907;902732;866768;984991;859760;867014;882596;812163;922650;837495;899134;851493;899480;924587;890216;1090409;831348;885504;849216;740636;936067;891013;864400;942979;831876;960102;894661;1022419;1154771;912991;871574;768183;1020520;897402;895460;914092;869808;855388;984491;945103;948184;920893;976892;750954;973806;841914;962082;869576;908556;882830;957702;1414920;838646;838830;851830;734095;833077;671650;706703;664067;652632;639682;658675;730012;1123940;564129;609784;502511;653544;496822;658936;539214;651621;614722;638178;685209;966587;618621;576139;462636;625003;469727;528518;514263;509691;453622;256156;80276775
"Pneumocócica Conjugada 7 Valente (Pnc7)";-;-;-;-;-;-;-;-;-;-;2317;2416;2860;1837;2118;2033;3345;4285;4206;5042;4606;4993;5024;4420;4270;4944;5774;5218;7133;7662;8493;7270;7402;8217;8236;7536;8467;7553;9544;9327;10111;11215;10744;12117;10631;11293;11055;13024;13797;12023;13195;14017;13273;15512;16975;16688;18247;18110;20758;21233;20143;19247;18501;17690;17773;23242;26805;25808;26372;27099;30514;25703;28112;26532;27943;29292;28430;23934;34225;31511;37138;28024;29506;27550;31643;21480;20888;18696;14566;12476;8052;14900;7165;5300;4408;3854;2251;2485;1680;917;762;325;540;899;914;641;-;-;-;-;-;-;-;-;-;-;-;-;159;9;60;443;506;102;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1257781
"Pneumocócica Polissacarídica 23 Valente (Pn23)";-;-;-;-;-;175;2022;8799;3054;488;7033;6893;9034;115523;70782;22446;14558;12557;13218;13663;22309;23760;14574;5189;4498;56960;93062;25084;15268;11794;9519;8870;8816;7440;11453;8318;10508;24758;55594;23286;18306;19076;20400;25134;10846;8108;7636;8436;9594;48707;87071;24623;17061;15261;12425;10048;10742;7071;8362;9116;9236;36828;74475;30512;19832;17647;13794;11902;12458;10163;9638;8914;13408;59085;85904;30098;25060;30179;22024;17248;16789;15891;13957;8024;12037;13817;54341;38646;52432;19231;10826;12139;8385;5946;6872;9955;12134;38660;87097;30348;21825;20518;19156;23463;40553;9329;7413;5805;8827;10604;90767;45877;26228;21007;16991;10814;11542;9107;11188;8054;8484;68348;48030;27755;22306;18695;17019;17767;18122;11420;9370;5317;5932;29114;60158;25943;20167;21791;24215;9679;8349;6123;6654;5895;8044;6962;67920;29684;23669;12903;10208;9821;8158;7251;5035;4731;7029;15489;20421;15977;12224;9342;7989;6967;6966;6719;6212;5711;4991;15228;24034;12588;9941;8050;6041;5887;5901;4282;4012;2941;3517;5206;15888;10782;4588;3500290
"Pneumocócica 13 valente";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;271;422;480;1654;3818;5290;4385;4387;4542;4655;5289;5219;6153;6519;5394;6554;6084;7120;6970;6509;6841;7684;7775;9241;8883;8709;9373;8974;8334;9159;12681;10301;8834;9842;9539;13089;12470;12322;13002;12646;13118;14038;14513;15495;14909;15108;15352;15979;15960;15155;15746;15452;15185;15649;15285;16965;18016;17489;17423;18315;17156;16441;15512;16384;14235;15566;13080;14865;15585;15203;16760;18028;16589;16250;15278;14103;14099;12455;10621;18103;11880;12759;11217;13784;13215;12382;14319;12703;11376;11884;9752;10251;9465;9369;8912;2603;1088750
"Tetravalente (DTP/Hib) (TETRA)";-;-;-;-;-;-;-;-;101561;144354;816774;742416;811274;776323;764610;908894;757101;925837;764018;750312;792791;710336;811365;739060;789842;759191;751457;911520;734265;975311;742906;793806;796607;753124;817920;703545;825022;705882;750612;820701;744046;884947;729716;774912;766035;696051;804454;685674;780395;722998;742238;811199;716256;867455;697154;766378;733915;643770;781861;687922;697192;715062;686051;782791;725894;778920;706548;740219;734094;661920;788921;678546;788639;710487;735792;789534;705873;747805;783542;692431;745815;649092;753965;656694;774448;660072;689843;732788;708188;809508;691225;712622;722960;650582;736424;685930;710578;704259;715737;770360;723129;819227;720369;735462;707676;671961;755179;682361;724070;663685;710747;707979;653997;522856;203190;126485;67912;37956;23523;12804;10489;7942;7098;5892;16;65;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;78219535
"Toxóide Tetânico";287972;278147;246115;208026;142110;59573;2733;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1224676
"Tríplice Acelular (DTPa)";-;-;-;-;-;-;-;26;101;63;6510;6201;6518;6108;6326;6025;5969;5946;5763;5480;5752;5623;6877;6251;6671;6164;6319;6538;6825;7600;6476;6766;6718;6506;6945;6683;6634;5599;6141;6658;6203;7356;6219;6501;5791;6793;6813;6829;6890;6899;6889;7499;7087;7484;6797;6718;7439;7215;8258;8122;7471;7662;7499;8361;7775;8829;8182;7967;8126;7903;9289;8577;8840;8533;8339;9256;9886;10153;9019;8762;9203;8610;8242;8834;8904;7453;7612;7620;8932;8933;8350;8408;8619;8240;8920;8252;7844;9130;9304;8910;9224;10091;8394;7868;8425;10401;11102;10001;10556;9744;10570;10318;11542;11969;9912;11032;11578;10774;12718;16026;11648;11455;11651;11648;11442;10118;13583;7071;7340;5879;30238;30718;27143;24830;26182;22413;29191;24866;24387;28180;162837;189035;237088;238205;271630;256151;290730;243874;249803;240946;257778;264613;274955;252224;1945;1882;2898;2760;2467;2413;4022;3046;2773;2366;3143;2828;2100;3481;2328;1904;3258;2374;3336;1746;3083;3112;2119;2685;2778;1413;1469;2014;2361;1432;536;4759502
"Tríplice Bacteriana (DTP)";194579;226052;209488;212721;228705;198419;210705;219220;102312;51941;239009;237897;294755;394792;432205;1126812;412660;774611;651208;330997;366976;333680;389630;384053;415242;422154;424653;1116640;434036;811103;448859;340425;381075;370232;425000;395270;436803;387078;421326;910835;426826;669244;516279;362200;387769;364714;481672;401434;436121;435915;427266;942590;464184;683156;502325;385159;397021;342010;481928;414511;385818;416380;403302;890205;467932;589497;388010;354833;375387;332572;373083;408498;451089;428099;450668;826663;533747;466426;680316;426033;397772;343429;424803;401251;504759;461613;450604;624820;427341;648638;395831;368713;401617;355277;421599;421113;402360;439568;497101;710930;573667;712168;428252;378300;382103;340406;426733;393230;432289;418571;493405;698362;519281;953029;467295;396361;378037;316078;420963;409740;400686;481357;426345;782050;432783;687213;848949;330877;288058;269945;402115;386658;388049;450746;472444;338456;410790;398920;420962;382111;700032;346937;368752;326326;391523;348723;468272;353377;382171;1145358;374859;307733;307561;236644;269278;207159;249825;347071;354378;307808;320487;306394;830937;223880;254929;229409;364074;287187;367380;314318;419356;319925;333473;356792;731680;325683;299178;232263;362347;242241;276523;298289;278201;235685;158852;79335233
"Tríplice Viral (SCR)";-;-;-;6;2;1;31694;64207;61547;71260;288239;307947;279810;197842;226473;520267;324042;5120198;4250363;356135;403096;350218;350160;358019;385573;408959;392174;620361;388626;740368;538807;410635;412678;369454;388087;356238;371325;334256;352913;496860;338792;463442;418476;729102;538871;476058;1060297;884527;506367;514881;817800;790558;504599;718570;665625;616663;562350;444383;548106;440022;395982;425914;401856;765899;443410;556608;397600;356427;378812;337942;412728;411506;461444;443474;471740;812195;531525;466867;680304;436682;412811;360041;442949;420184;519601;476385;463596;620781;438471;661787;431185;434380;498826;458341;460632;461896;440122;479915;520449;1675120;848436;960196;492042;397973;365506;331963;405235;383550;426076;410555;444044;570468;443729;799012;422570;362895;345522;317092;420821;459874;514382;704743;607356;1223265;686315;1232482;1750605;462837;395701;367550;449483;535805;420243;526994;485353;390612;525752;477604;432245;348851;1822804;8128853;347917;334033;398983;342589;370711;317480;342749;700970;306779;280577;323194;285599;468125;436843;474933;486929;496635;483748;536822;594342;1086382;450373;477320;383516;567288;487519;640089;491338;558149;446673;416344;462785;855875;490726;463025;369973;523148;386515;514869;571331;481324;416583;479308;105282521
